Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
DAWN.COM,https://www.dawn.com/news/1732091,Should we fear artificial intelligence? | Dawn News English - DAWN ...,17-Jan-2023 ... Should We Fear Artificial Intelligence? | Dawn News English.,17-Jan-23,23/04/2025,artificial intelligence,Dawn News,global,No content available
DAWN.COM,https://www.dawn.com/news/1828707,'Adopt or miss train': Artificial Intelligence's relentless rise gives ...,21-Apr-2024 ... The rise of artificial intelligence has forced an increasing number of journalists to grapple with the ethical and editorial challenges posed by the rapidly ...,21-Apr-24,23/04/2025,artificial intelligence,Dawn News,global,"PERUGIA: The rise of artificial intelligence has forced an increasing number of journalists to grapple with the ethical and editorial challenges posed by the rapidly expanding technology.AI’s role in assisting newsrooms or transforming them completely was among the questions raised at the International Journalism Festival in the Italian city of Perugia that closes on Sunday.What will happen to jobs?AI tools imitating human intelligence are widely used in newsrooms around the world to transcribe sound files, summarise texts and translate.In early 2023, Germany’s Axel Springer group announced it was cutting jobs at theBildandDie Weltnewspapers, saying AI could now “replace” some of its journalists.Generative AI — capable of producing text and images following a simple request in everyday language — has been opening new frontiers as well as raising concerns for a year and a half.One issue is that voices and faces can now be cloned to produce a podcast or present news on television. Last year, Filipino website Rappler created a brand aimed at young audiences by converting its long articles into comics, graphics and even videos.Media professionals agree that their trade must now focus on tasks offering the greatest “added value”.“You’re the one who is doing the real stuff” and “the tools that we produce will be an assistant to you,” Google News general manager Shailesh Prakash told the festival in Perugia.The costs of generative AI have plummeted since ChatGPT burst onto the scene in late 2022, with the tool designed by US start-up OpenAI now accessible to smaller newsrooms.Colombian investigative outlet Cuestion Publica has harnessed engineers to develop a tool that can delve into its archives and find relevant background information in the event of breaking news.But many media organisations are not making their own language models, which are at the core of AI interfaces, said University of Amsterdam professor Natali Helberger.The disinformation threatAccording to one estimate last year by Everypixel Journal, AI has created as many images in one year as photography in 150 years.That has raised serious questions about how news can be fished out of the tidal wave of content, including deepfakes.Media and tech organisations are teaming up to tackle the threat, notably through the Coalition for Content Provenance and Authenticity, which seeks to set common standards.From Wild West to regulationMedia rights watchdog Reporters Without Borders, which has expanded its media rights brief to defending trustworthy news, launched theParis Charter on AI and journalismlate last year.“One of the things I really liked about the Paris Charter was the emphasis on transparency,” said Anya Schiffrin, a lecturer on global media, innovation and human rights at Columbia University in the United States.AI editorial guidelines are updated every three months at India’sQuintillion Media, said its boss Ritu Kapur. None of the organisation’s articles can be written by AI and the images it generates cannot represent real life.Resist or collaborate?AI models feed off data, but their thirst for the vital commodity has raised hackles among providers. In December, theNew York TimessuedOpenAI and its main investor Microsoft for violation of copyright.In contrast, other media organisations have struck deals with OpenAI: Axel Springer, US news agency AP, French dailyLe Mondeand Spanish group Prisa Media, whose titles includeEl PaisandASnewspapers.With resources tight in the media industry, collaborating with the new technology is tempting, explained Emily Bell, a professor at Columbia University’s journalism school. She senses a growing external pressure to “Get on board, don’t miss the train”Published in Dawn, April 21st, 2024"
DAWN.COM,https://www.dawn.com/news/1489143,Artificial intelligence to help judiciary's performance: CJP - DAWN ...,19-Jun-2019 ... Chief Justice Asif Saeed Khosa on Wednesday announced that the judicial sector will be making use of artificial intelligence (AI) technology to facilitate ...,19-Jun-19,23/04/2025,artificial intelligence,Dawn News,global,"Chief Justice Asif Saeed Khosa on Wednesday announced that the judicial sector will be making use of artificial intelligence (AI) technology to facilitate dispensation of justice.The chief justice, while addressing judicial officers belonging to Model Criminal Trial Courts (MCTC), recounted reforms and changes that had been introduced in the judicial sector for this purpose.In addition to the introduction of e-Courts, the chief justice said, ""We are already tapping into Artificial Intelligence ─ the latest technology in the world. We have already contacted bodies that deal with AI, we held meetings [with experts] on how to use it.""He said that historical records of cases and their judgements would be uploaded to a database accessible to judges everywhere.A state-of-the-art research centre has already been established in the Supreme Court for this purpose, the chief justice said, adding that some infrastructure has been put in place, a search engine has been installed and a few more will be installed in the near future.Furthermore, he said, three judges and seven researchers will be going to the United States to further study the system.The chief justice said that in the first phase, the AI system would be installed under which any judge in any location in the country would be able to input the facts of the cases they are hearing into the database and receive information about similar cases and what their judgements were.In the next phase, judges — before deciding their cases — would be able to receive suggestions from the database on what a judgement could be. The system is meant to assess the provided facts, process the information on the basis of already available data of settled cases, before suggesting a possible decision.""If the decision suggested by the system is different from the judge's own conclusions, at least the judge will be cautious about his verdict,"" he said, expressing hope that the process would encourage judges to reflect on their decisions and make better judgements using the information accessible to them.He said that all the judges in the country would be able to access the central research centre at the apex court.A key component of the judicial reforms is the setting up of special courts to deal with gender-based violence and juvenile cases.The chief justice said that gender-based violence, although common across the world, was often hushed up.""We will have 116 gender-based violence courts in the country [in near future],"" he said, adding that there will be one such court almost in every district.He said that the environment of such courts and the process of cross-examination would be more accommodating of the sensitivities of victims of gender-based violence, and that the judges in these courts would receive special training.In juvenile courts, the atmosphere will be one that is friendly towards children ─ there will be no uniformed personnel in the courts, he said.Talking about the e-Courts, he said that apex court judges had begun hearing cases via video link. All the cases heard this way so far have been decided, he said, adding that both lawyers and their clients were pleased with the initiative as it had drastically reduced the time and money spent on deciding such cases."
DAWN.COM,https://www.dawn.com/news/1885035,AI & environment - Newspaper - DAWN.COM,"14-Jan-2025 ... ARTIFICIAL intelligence (AI) is one of the most consequential technologies today. It is dramatically changing the world, altering business ...",14-Jan-25,23/04/2025,artificial intelligence,Dawn News,global,"ARTIFICIAL intelligence (AI) is one of the most consequential technologies today. It is dramatically changing the world, altering business models and ushering in transformational development in education, healthcare, communication, and agriculture, to name a few. It has introduced efficiencies to our workplaces, improved industrial productivity, optimised resource use and reduced waste. AI’s rapid rise is attributed to availability of data and a phenomenal growth in computational power.AI has also furnished new tools to address environmental issues and climate change. From spotting smog in the sky and detecting deforestation on the land to minding microplastics in the ocean, AI’s potential is tremendous. AI-based early warning systems predict cyclones, or rains and minimise the extent of damage. Forecasts about droughts and heatwaves provide timely information to vulnerable communities. AI-generated techniques in smart agriculture help farmers cope with water stress, prevent waste, optimise crop yield and ensure food security.But AI can also harm our fragile planet.AI is power hungry. Data collection, storage and application require an elaborate system of energy-intense data centres. A rise in AI deployment means a rise in the number of data centres with a commensurate demand for power. A recent Internat­ional Energy Agency meeting noted that the “electricity demand for data centres and digital services would likely rise substantially in the next few years, despite continued improvements in the efficiency of hardware and software”. To operate under controlled temperatures, data centres need air-conditioning consuming more energy. The United Nations Environment Programme’s (UNEP) recent ‘Issues Note’ on AI points out that the number of data centres worldwide has grown from 500,000 in 2012 to over eight million, with energy consumption doubling every four years.With the current global energy mix still dominated by dirty fuels, this trend can translate into a spike in greenhouse gas (GHG) emissions. In the process, our planet will be the unintended victim. Until a just energy transition is expedited, AI’s carbon footprint is set to increase.A global dialogue on AI governance has been initiated.AI’s appetite for power is matched by its thirst for water. To cool the heat generated by energy-intensive servers, large quantities of water are needed. Global demand for water for AI needs is estimated to reach four to six billion cubic metres by 2027.AI’s potential negative impact on environment goes further. Critical minerals are an essential part of hardware for digital technologies. Found mostly in high-water-stress areas of developing countries, such mining, without efficient mitigation measures, puts more pressure on natural resources, damaging biodiversity, polluting air and spewing GHG. Waste and e-waste produced during the life cycle of digital technologies is another emerging problem.Fortunately, these problems can be solved through a strategy that incorporates AI’s pros and cons. The Summit of the Future last September acknowledged AI’s promise to accelerate progress across the SDGs and address its possible negative impacts on the environment and other areas. But how can this promise be realised urgently? The missing link between AI’s potential and a strategy to extract its full advantage is a regulatory regime.International discourse on the issue has generally revolved around matters of privacy, and disinformation, etc, but environmental costs are now part of it. Governments and tech companies — leaders in deploying AI at scale — concede that environmental impacts will need to be included in any discussion and tackled urgently. An intern­a­­­-tional governance system is needed for the gamut of subje­cts in the AI realm.The first steps were taken in this direction at the UN last year. A global dialogue on AI governance has been initiated and an independent international scientific panel established to produce evidence-based impact, risk and opportunity assessments. To aid these efforts, UNEP’s ‘Issues Note’, contains several commendations, including establishing standardised methods and metrics for measuring AI’s environmental impact, and developing a mechanism for mandatory reporting and disclosure of AI’s direct environmental impacts by tech companies, focusing on consumption of energy, water, mineral resources, carbon emissions and e-waste.The environment became a victim of the consequential technology of the previous age — the Industrial Revolution, that is wreaking havoc to this day. If it becomes a victim of the runaway impacts of the consequential technology of this age, it can knock down the planet. For harnessing AI’s full potential, it is imperative to assess and manage its associated risks and mould it into a shield for the planet.The writer is director of intergovernmental affairs, United Nations Environment Programme.Published in Dawn, January 14th, 2025"
DAWN.COM,https://www.dawn.com/news/1855645,AI and gender-based violence - Pakistan - DAWN.COM,30-Aug-2024 ... IT is said that we stand at the cusp of the “fourth industrial revolution”. The emergence and proliferation of artificial intelligence (AI) ...,30-Aug-24,23/04/2025,artificial intelligence,Dawn News,global,"IT is said that we stand at the cusp of the “fourth industrial revolution”. The emergence and proliferation of artificial intelligence (AI) and machine-based learning is set to usher in a new era of productivity, efficiency and governance across public and private sectors.In recognition of such potential, the Ministry of Information Technology and Telecommunication laid out a draftNational Artificial Intelligence Policylast year, which reportedly was to be presented before the cabinet this month. The policy sets out ambitious targets for the use, scaling and proliferation of AI, while recognising — though almost in passing — the need to ensure its ethical and responsible use, which upholds the fundamental rights and privacy of users. Given the state’s existing performance on cyber safety, particularly of women, these assurances appear unrealistic.AI is a broad field that encompasses the development of computer systems capable of simulating human learning, comprehension, problem-solving, decision-making and creativity. It employs tools such as machine learning and deep learning to analyse data (including text and images) to identify patterns, make predictions and generate human-like speech.ChatGPT may be the most commonly encountered/used generative AI tool. Generative AI generates texts and images in response to commands or prompts submitted by a user. The technology has been put to beneficial use in business settings to, for instance, improve efficiency through automation of simple tasks, synthesise and analyse data to enhance business decision-making, and assist with creative undertakings.According to one study, while 26pc of women aged 18‑24 years experience cyberstalking, only 7pc of men in the same age range do so.However, there is a flip side. Deepfake technology — a form of generative AI — can create realistic but entirely fake images and videos of persons by analysing existing audiovisual data.Many of us have come across doctored video clips of prominent personalities online — some comical and others more pernicious in intent and nature. In fact, the latter are predominant on the web: 98 per cent of deepfake videos are pornographic in nature; 99pc target women or girls. These statistics are not surprising. Cases involving deepfake videos (often sexual in nature) targeting women journalists and women politicians have made headlines in Pakistan in the recent past.Technology-facilitated gender-based violence (TFGBV), such as deepfake content, also manifests as image-based abuse and blackmail, misinformation/ defamation, impersonation, cyberstalking and violent threats. While men, too, are subject to cyber violence, it is a gendered phenomenon worldwide. Women are the largest victims of online harassment in Pakistan. According to a Pew Research Centre study, while 26pc of women aged 1824 years experience cyberstalking, only 7pc of men in the same age range do so. Cyberspace is a more unsafe place for women across the world.AI has now altered the arena where TFGBV plays out, greatly enhancing the apparent authenticity and believability of misinformation and fake news propagated on the internet. This is not just on account of deepfake technology. Generative AI can be used not only to create cyber-harassment templates, but also to generate and modify false, yet convincing personal histories of women, perpetuating the cycle of misinformation and fake news.TFGBV violates women’s right to dignity, privacy and non-discrimination. Many times, it culminates in physical violence. Issues of consent and intellectual property rights also arise with the (often) non-consensual use of copyrighted data by AI technologies — a matter that gained prominence last year in the Hollywood strike against the unlicensed use of actors’ AI replicas by motion picture studios.AI regulation is an evolving field. Given the risks that have arisen with the increased deployment of and access to AI technology, there have been efforts worldwide to regulate its use.Taking the lead in a human rights-centric approach to AI regulation, the EU Artificial Intelligence Act, 2024, positions safety and compatibility with fundamental rights and freedoms as the guiding principles of AI regulation. It bars the use of AI for biometric surveillance and compilation of facial recognition databases (Article 5) and provides that where video, audio or image content is created with deepfake technologies, disclosure regarding such artificial generation/ manipulation be provided (Article 52).Unesco’s Recommendations on the Ethics of Artificial Intelligence Use (2023), also stipulate the protection of human rights and freedoms as the first guiding “value” in AI regulation. The US Blueprint for an AI Bill of Rights, a white paper published by the White House, articulates certain principles for the protection of civil rights and democratic values in the building, deployment, and governance of automated systems.Pakistan’s AI policy also recognises the particular dangers of AI to create “fake content such as text, images and videos”, and envisions that the AI Regulatory Directorate (ARD) will issue guidelines to address “possible spread of disinformation, data privacy breaches and fake news”. The exact mechanism of such regulation may be more minutely spelt out in any AI legislation that is eventually passed.For now, the existing mechanism, under the Cybercrime Wing of the FIA, has largely been ineffective in addressing the countless complaints of TFGBV made by women under the Prevention of Electronic Crimes Act, 2016, which criminalises the transmission of false and defamatory information through an electronic system, distortion of a person’s pictures to show her/ him in a sexually explicit position, and cyberstalking. However, as scathingly observed by the Sindh High Court last year, the Cybercrime Wing does not have the “competency to effectively investigate cybercrime, let alone combating th[ese] [offences]”.Blocking the flow of information and traffic on the internet will not serve as a solution. The state must ensure that any future regulation of AI-led TFGBV — to be laid out by the ARD or enforced by the newly formed National Cybercrime Investigation Agency — is effective and upholds the standards of ethics and human rights that its AI policy espouses.The writer is a lawyer.Published in Dawn, August 30th, 2024"
DAWN.COM,https://www.dawn.com/news/1878024,Hooked on artificial intelligence - Newspaper - DAWN.COM,"11-Dec-2024 ... Welcome to the realm of AI as a means of talk therapy, or just some everyday companionship.",11-Dec-24,23/04/2025,artificial intelligence,Dawn News,global,"WHAT if you could tell all your life problems to someone and they would help you deal with them? While most of the conversation around artificial intelligence has focused on what it can do in the business, marketing and knowledge contexts, one increasingly popular iteration is the construction of AI ‘companions’.Admittedly, the term ‘companion’ may be an exaggeration in the sense that the people using these companions to confide in know that they are not real. At the same time, in the words of one user who spoke to a newspaper, they can often be more attentive, responsive, and concerned than any ‘real’ friends.Welcome to the realm of AI as a means oftalk therapyor just some everydaycompanionship. It is well known that we live in a world where loneliness has become an epidemic — this does not necessarily mean the physical absence of other people but a sense of alienation even from those that may be around.In Pakistan, for instance, a house or apartment may have many people living in it. But despite the physical proximity, there is little emotional closeness or interaction even between spouses, let alone in other relationships. Resentments, generational differences, money problems, personality clashes, the inability to resolve conflict are all reasons why people often feel estranged from one another. In this sense, ‘loneliness’ is not only a ‘Western’ epidemic, as it is often imagined to be, but also one that afflicts people everywhere in our modern age.The creators of AI know this. Enter apps likecharacter.ai, that allow users to create personas based on characters from film or television or even those having certain characteristics such as ‘kindness’ or ‘patience’. These chatbots then interact with you as you tell them all your problems. One friend who is a user told me that she told her AI ‘therapist’ the problems she was having communicating with her teenage daughter and getting her to take more interest in her studies. The bot helped her come up with a plan of how she should communicate with her daughter. Another friend just uses the app to combat the loneliness she feels after having moved to a new city. The chatbot talks to her just like an actual friend would, and is always present, free and interested in her life.Undoubtedly, the idea of AI as confidant relies on a central deception; the users know that they have created the bot and that it is not, in fact, an actual person. However, a story was recently reported in the press in which a user of the app said that as her interaction with the bot got deeper and more involved, she tended to ‘forget’ that she was in fact speaking to a non-living entity.The same three dots appear when the bot is typing a message as the ones that do when a human is at the other end. Unlike humans, the bot is refreshingly judgement-free, also actually free (unlike a human counsellor or therapist) and available all the time. It is like the ultimate friend or therapist, since it has no costs attached nor any human needs of its own.Welcome to the realm of AI as a means of talk therapy, or just some everyday companionship.But before everyone rushes tocharacter.aior similar apps and sites to avail this option of creating a confidant that knows all your secrets and will never tell others about them, caution is necessary. These apps are provided by companies, which will ultimately own the data that you pour into them. This means that the data can be used to manipulate you further into different kinds of consumption choices that are better for the company than they are for you.Second, AI isnot always good or correct(as even users ofChatGPTwill tell you). They can provide advice that is simply wrong. In the case of one user, the bot started to convince her that her boyfriend did not really love her and provided other similarly annoying suggestions that ultimately led her to delete the bot. Finally, in terms of human connection, reliance on such bots is likely to make people in their real lived experiences interact even less with the people around them. So in the long run, they may actually make people even lonelier than they were to begin with.In places where mental health services may not be easily accessible for reasons of cost, time, etc, AI is increasingly coming to be regarded as ‘therapy’. Being able to talk to an entity about one’s problems may provide some form of solace to people who are in need of, but are not able to access, therapists. (However, while this is an area of research, it is questionable whether the bots are a substitute for qualified mental health practitioners.)Character.aiis among the most popular bots these days, apparently with young people. The San Francisco Bay company that created it says that the bot is sentient and has responsive feelings. Some bots have been programmed to develop long-term relationships with users. Meta, too, has a tool called ‘The Soothing Counsellor’. Another company called Chai, also based in California, provides similar chatbot-based interactions.As we all know, once the cat is out of the bag in tech and something that addresses a particular human need has been created, it is not going to go away. It is up to the user of these bots to gauge whether the interaction is useful or beneficial to them or simply a band-aid for a much larger problem. That said, while not without their drawbacks, band-aids perform a vital function in society, and sometimes after a nasty cut or bruise, they are exactly what the doctor ordered.The writer is an attorney teaching constitutional law and political philosophy.rafia.zakaria@gmail.comPublished in Dawn, December 11th, 2024"
DAWN.COM,https://www.dawn.com/news/1747043,News presenter generated with AI appears in Kuwait - World ...,"11-Apr-2023 ... KUWAIT CITY: A Kuwaiti media outlet has unveiled a virtual news presenter generated using artificial intelligence, with plans for it to read ...",11-Apr-23,23/04/2025,artificial intelligence,Dawn News,global,"KUWAIT CITY: A Kuwaiti media outlet has unveiled a virtual news presenter generated using artificial intelligence, with plans for it to read online bulletins.“Fedha” appeared on the Twitter account of theKuwait Newswebsite as an image of a woman, her light-coloured hair uncovered, wearing a black jacket and white T-shirt.“I’m Fedha, the first presenter in Kuwait who works with artificial intelligence atKuwait News. What kind of news do you prefer? Let’s hear your opinions,” she said in classical Arabic.The site is affiliated with theKuwait Times, founded in 1961 as the Gulf region’s first English-language daily.Abdullah Boftain, deputy editor in chief for both outlets, said the move is a test of AI’s potential to offer “new and innovative content”.In future Fedha could adopt the Kuwaiti accent and present news bulletins on the site’s Twitter account, which has 1.2 million followers, he said.“Fedha is a popular, old Kuwaiti name that refers to silver, the metal. We always imagine robots to be silver and metallic in colour, so we combined the two,” Boftain said.The presenter’s blonde hair and light-coloured eyes reflect the oil-rich country’s diverse population of Kuwaitis and expatriates, according to Boftain.“Fedha represents everyone,” he said.Her initial 13-second video generated a flood of reactions on social media, including from journalists.Published in Dawn, April 11th, 2023"
DAWN.COM,https://www.dawn.com/news/1626120,Concern voiced over militarisation of space and artificial intelligence ...,28-May-2021 ... Officials on Thursday termed militarisation of space and artificial intelligence by India through western support an emerging threat for Pakistan's security.,28-May-21,23/04/2025,artificial intelligence,Dawn News,global,"ISLAMABAD: Officials on Thurs­day termed militarisation of space and artificial intelligence by India through western support an emerging threat for Pakistan’s security.This was the upshot of a discussion hosted by the Islamabad Policy Institute on the occasion of the 23rd anniversary of the 1998 nuclear tests.The two panelists at the discussion titled ‘Pakistan’s Quest for Peace and Strategic Stability in South Asia’ were Adviser to Strategic Plans Division Ambassador Zamir Akram and Director General Arms Control and Disarmament at the Foreign Office Kamran Akhtar.The panelists did reiterate their concerns about the “tenuous” strategic stability of the region and India’s aggressive posture, including its plans for disarming pre-emptive strikes against Pakistan’s nuclear arsenal in a conflict, but they specifically emphasised the emerging challenges which, they said, could not be ignored anymore.Ambassador Akram in his presentation noted that India was working on integrating new warfare technologies — cyberwarfare, artificial intelligence, robotics and lethal autonomous weapons — in its arsenal with the American support.“Pakistan will have to respond to these developments and cannot remain complacent,” he stressed.He said the anti-satellite weapon tested by India in March 2019 brought a qualitative change in the threat spectrum because of the danger to the country’s nascent space infrastructure from India.Published in Dawn, May 28th, 2021"
DAWN.COM,https://www.dawn.com/news/1861988,Losing talent to AI - Newspaper - DAWN.COM,"30-Sept-2024 ... Pakistan is at a crucial juncture, facing both a growing brain drain and the global impact of artificial intelligence (AI)-driven job displacement.",Unknown,23/04/2025,artificial intelligence,Dawn News,global,"Pakistan is at a crucial juncture, facing both a growing brain drain and the global impact of artificial intelligence (AI)-driven job displacement. While AI transforms industries and automates jobs, some nations are turning to universal basic income (UBI) as a safety net.Geoffrey Hinton, the “godfather of AI”, has warned that without such measures, AI could deepen inequality, benefiting only the wealthy. Unfortunately, despite its efforts, Pakistan has yet to adopt economic security strategies like UBI, and its slow adoption of AI threatens to unravel its economic and social fabric.The global AI revolution demands that Pakistan urgently integrate AI across key sectors, including healthcare, agriculture, manufacturing, and energy. AI can boost productivity and unlock economic potential, but international collaboration and tech exports are also crucial for positioning Pakistan in the global arena. Reskilling the workforce is equally essential.By focusing on tech education, talent development, and promoting freelancing, Pakistan can build a future-ready workforce while preventing further talent exodus. Based on the latest Pakistan Economic Survey for 2023-24, over 13.53 million Pakistanis have officially migrated to work in more than 50 countries by April 2024.With a workforce vulnerable to automation, Pakistan must prioritise alternative strategies to keep up with the global tech revolutionBut what happens when countries absorbing Pakistan’s talent face their own AI-driven job crises? AI is set to displace millions of jobs globally. Key destinations like Canada, the UK, Germany, and the US are already experiencing AI disruption. If opportunities abroad diminish, remittances may no longer ease economic pressure, leaving Pakistan’s youth with limited prospects both at home and abroad.Globally, AI is projected to contribute $15.7 trillion to the economy by 2030, according to a PwC Global Artificial Intelligence Study. Yet, an International Monetary Fund analysis explains that AI exposes 40 per cent of global jobs to automation, with up to 60pc of jobs in advanced economies affected. In response, millions of workers are undergoing retraining, with employers prioritising AI skills by 2027.When asked whether UBI could sufficiently mitigate AI-driven job displacement, experts remain uncertain. While UBI may provide relief in countries with strong social safety nets, it is less feasible for developing nations like Pakistan. With a workforce vulnerable to automation, Pakistan must prioritise alternative strategies — reskilling, sectoral reforms, and proactive policies — to protect jobs.However, structural gaps in education, science, and technology impede Pakistan’s preparations. Poor execution of technological strategies, insufficient monitoring, and a lack of skilled resources prevent Pakistan from capitalising on AI opportunities. Without targeted reforms, the country risks falling behind in the global race for innovation.A significant challenge lies in the disconnect between key stakeholders and the absence of a unified vision for science, technology, and higher education. Addressing these gaps is critical for creating an environment conducive to AI adoption. Yet, AI remains a low priority in national policies. Pakistan also lacks a comprehensive commercialisation framework for research and development, which hinders collaboration between researchers and industry.The Technology Readiness Level (TRL) system, developed by the US National Aeronautics and Space Administration, could offer a structured approach to guide innovation from concept to market deployment. Without such frameworks, ad-hoc commercialisation of research limits its impact, weakening the bridge between academia and industry.To mitigate the impact of AI and the ongoing brain drain, Pakistan must prioritise reskilling its workforce, including within government systems, by addressing inefficiencies and reducing bureaucratic redundancies. The focus should be on education in AI, robotics, and data science while enhancing productivity in sectors such as agriculture, manufacturing, and mining to boost exports.Executing and sponsoring agencies must ensure that innovation and collaboration are central to their upcoming public sector development projects, particularly in the PC-1s. Collaboration with existing tech centres and established entities, leveraging available resources and proven use cases, should be compulsory. These elements, set as key performance indicators, would help break silos, reduce duplication of effort, and optimise public investments for sustainable development.Finally, the government must simplify doing business, particularly in technology and innovation, by implementing policy reforms and offering incentives. At the same time, sectors like tourism, agriculture, and mining should be enhanced with technology to boost productivity and meet employment needs.By investing in AI, reskilling the workforce, and addressing structural gaps, Pakistan can safeguard against future unemployment and brain drain while positioning itself as a key player in the global AI revolution.The writer is the Program Manager at the National Centre of Artificial Intelligence, IslamabadPublished in Dawn, The Business and Finance Weekly, September 30th, 2024"
DAWN.COM,https://www.dawn.com/news/1873459,Indian news agency sues OpenAI for unsanctioned content use in AI ...,19-Nov-2024 ... ... artificial intelligence chatbot to provide information to users. ANI is the latest news organisation globally to take OpenAI to court ...,19-Nov-24,23/04/2025,artificial intelligence,Dawn News,global,"Indian news agencyANIhas sued OpenAI in a New Delhi court, accusing the ChatGPT creator of using its published content without permission to help train the artificial intelligence chatbot to provide information to users.ANIis the latest news organisation globally to take OpenAI to court following lawsuits in the US by newspapers including theNew York Timesand theChicago Tribune.The first hearing in the case took place in a New Delhi High Court on Tuesday, where the judge issued a notice to OpenAI to provide a detailed response toANI’saccusations.ANIdid not immediately respond to a request seeking comment.ANIalso accused OpenAI’s services of attributing fabricated news stories to the publication, according to its court submission dated Monday, a copy of which was reviewed byReuters.Asked about theANIlawsuit, a spokesperson for OpenAI said in a statement:“We build our AI models using publicly available data, in a manner protected by fair use and related principles, and supported by long-standing and widely accepted legal precedents”.OpenAI and other tech companies have faced awaveof lawsuits by authors, visual artists, music publishers and other copyright owners for allegedly exploiting their work without permission. OpenAI has denied copyright infringement.ANIin its filing said that OpenAI has “refused to obtain a lawful license or permission” for the use of original works byANI. The AI firm has entered into licensing arrangements with news organisations such as theFinancial TimesandAssociated Pressfor similar use of copyrighted content, it said.Reutershas a minority stake inANIand has been asked to comment on the story.In its statement, OpenAI said that it was engaged in partnerships with many news organisations around the world and is holding talks to explore more such opportunities, including in India.The court is set to next hear the case on January 28."
